media_type,media_name,year,women_expression_rate
tv,Téva,2018,47.54970857518087
tv,Téva,2019,49.50717526992731
tv,Voyage,2010,23.647660181844163
tv,Voyage,2011,25.00898813273798
tv,Voyage,2012,24.32763131151676
tv,Voyage,2013,26.81814978862775
tv,Voyage,2014,24.428790569555343
tv,Voyage,2015,24.075768707530333
tv,Voyage,2016,21.86999210207125
tv,Voyage,2017,23.539410804262737
tv,Voyage,2018,26.08080378570629
tv,Voyage,2019,24.912812649488075
tv,W9,2010,30.8429873229698
tv,W9,2011,32.866200908080565
tv,W9,2012,32.19063868387818
tv,W9,2013,34.937837768784554
tv,W9,2014,36.40868788075179
tv,W9,2015,36.93924232991307
tv,W9,2016,37.072227603164194
tv,W9,2017,36.08390653830904
tv,W9,2018,35.1292442030032
tv,W9,2019,35.75575523439771
